Name,First year,Last year,Full Name,Country,Positions,Bat hand,Throw hand,HoF,HoF type,HoF year,HoF comittee,Years,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%
Juan Acevedo,1995,2003,Juan Carlos Acevedo,mx,['Pitcher'],Right,Right,-,-,-,-,8.0,28.0,40.0,.412,4.33,367.0,34.0,165.0,0.0,0.0,53.0,570.0,597.0,316.0,274.0,72.0,226.0,34.0,350.0,28.0,4.0,20.0,2488.0,106.0,4.84,1.444,9.4,1.1,3.6,5.5,1.55,4.99,4.90,0.00,-0.20,101.9,4.79,-14,-1.2,1.27,-0.9,3.1,41.0,.497,.500
Alfredo Aceves,2008,2014,Alfredo Aceves,mx,['Pitcher'],Right,Right,-,-,-,-,7.0,31.0,16.0,.660,3.83,204.0,15.0,91.0,0.0,0.0,29.0,380.1,333.0,172.0,162.0,48.0,129.0,6.0,282.0,28.0,6.0,5.0,1599.0,113.0,4.47,1.215,7.9,1.1,3.1,6.7,2.19,4.07,4.58,0.14,-0.23,103.4,4.35,9.0,1.1,1.27,-0.9,4.2,51.0,.505,.501
A.J. Achter,2014,2016,Adam Joseph Achter,us,['Pitcher'],Right,Right,-,-,-,-,3.0,2.0,1.0,.667,3.92,45.0,0.0,22.0,0.0,0.0,0.0,62.0,69.0,30.0,27.0,13.0,21.0,2.0,33.0,1.0,0.0,0.0,267.0,104.0,5.87,1.452,10.0,1.9,3.0,4.8,1.57,4.35,4.50,0.02,-0.33,97.0,4.04,-2,-0.3,.47,-0.1,0.3,4.0,.494,.500
Jim Acker,1983,1992,James Justin Acker,us,['Pitcher'],Right,Right,-,-,-,-,10.0,33.0,49.0,.402,3.97,467.0,32.0,159.0,0.0,0.0,30.0,904.1,918.0,447.0,399.0,82.0,329.0,40.0,482.0,32.0,2.0,31.0,3868.0,103.0,4.10,1.379,9.1,0.8,3.3,4.8,1.47,4.45,4.39,0.05,-0.23,103.4,4.25,-20,-2.0,1.18,-1.3,5.5,63.0,.496,.499
Tom Acker,1956,1959,Thomas James Acker,us,['Pitcher'],Right,Right,-,-,-,-,4.0,19.0,13.0,.594,4.12,153.0,23.0,35.0,5.0,1.0,8.0,380.1,365.0,181.0,174.0,43.0,150.0,20.0,256.0,17.0,0.0,6.0,1629.0,99.0,3.90,1.354,8.6,1.0,3.5,6.1,1.71,4.28,4.36,0.04,0.00,104.6,4.51,12.0,1.4,1.10,-0.5,4.9,48.0,.509,.501
Fritz Ackley,1963,1964,Florian Frederick Ackley,us,['Pitcher'],Left,Right,-,-,-,-,2.0,1.0,0.0,1.000,4.19,5.0,4.0,1.0,0.0,0.0,0.0,19.1,17.0,10.0,9.0,4.0,11.0,0.0,17.0,0.0,0.0,1.0,84.0,87.0,5.16,1.448,7.9,1.9,5.1,7.9,1.55,4.66,4.00,0.34,0.05,95.6,3.55,-2,-0.2,.07,0.0,0.0,-1,.462,.499
Cy Acosta,1972,1975,Cecilio Acosta,mx,['Pitcher'],Right,Right,-,-,-,-,4.0,13.0,9.0,.591,2.66,107.0,0.0,74.0,0.0,0.0,27.0,186.0,143.0,65.0,55.0,15.0,77.0,8.0,109.0,12.0,1.0,4.0,768.0,143.0,3.85,1.183,6.9,0.7,3.7,5.3,1.42,3.15,4.14,-0.32,-0.32,104.8,4.34,24.0,2.9,1.79,1.0,5.7,41.0,.527,.507
Ed Acosta,1970,1972,Eduardo Elixbet Acosta,pa,['Pitcher'],Both,Right,-,-,-,-,3.0,6.0,9.0,.400,4.05,57.0,8.0,22.0,3.0,1.0,1.0,137.2,153.0,71.0,62.0,12.0,39.0,8.0,70.0,4.0,2.0,6.0,594.0,82.0,3.47,1.395,10.0,0.8,2.5,4.6,1.79,4.64,3.97,-0.39,-0.06,96.7,4.15,-9,-1.0,.94,0.0,0.3,3.0,.483,.496
José Acosta,1920,1922,José Acosta,cu,['Pitcher'],Right,Right,-,-,-,-,3.0,10.0,10.0,.500,4.51,55.0,13.0,28.0,6.0,1.0,4.0,213.1,265.0,119.0,107.0,9.0,68.0,,45.0,0.0,0.0,4.0,933.0,88.0,4.09,1.561,11.2,0.4,2.9,1.9,0.66,5.03,5.10,-0.08,0.00,97.5,5.05,-1,0.0,.95,-0.2,2.0,25.0,.500,.501
Manny Acosta,2007,2012,Manuel Alcides Acosta,pa,['Pitcher'],Right,Right,-,-,-,-,6.0,13.0,13.0,.500,3.99,233.0,0.0,78.0,0.0,0.0,9.0,248.0,234.0,122.0,110.0,30.0,117.0,10.0,219.0,8.0,0.0,14.0,1070.0,100.0,4.42,1.415,8.5,1.1,4.2,7.9,1.87,4.43,4.48,-0.03,-0.33,98.0,4.10,-9,-0.9,.94,-0.3,0.9,12.0,.496,.499
Mark Acre,1994,1997,Mark Robert Acre,us,['Pitcher'],Right,Right,-,-,-,-,4.0,9.0,6.0,.600,5.17,114.0,0.0,32.0,0.0,0.0,2.0,127.0,135.0,75.0,73.0,16.0,68.0,9.0,98.0,5.0,1.0,3.0,582.0,88.0,4.94,1.598,9.6,1.1,4.8,6.9,1.44,5.31,5.30,-0.18,-0.40,95.8,4.87,-7,-0.6,1.00,-0.3,0.5,9.0,.495,.499
Jason Adam,2018,2022,Jason Kendall Adam,us,['Pitcher'],Right,Right,-,-,-,-,5.0,6.0,5.0,.545,4.13,94.0,0.0,27.0,0.0,0.0,1.0,93.2,68.0,47.0,43.0,13.0,43.0,3.0,115.0,11.0,3.0,6.0,398.0,104.0,4.24,1.185,6.5,1.2,4.1,11.0,2.67,4.52,4.79,0.06,-0.31,0.12,97.4,4.42,-2,-0.1,.81,-0.1,0.7,8.0,.498
Ace Adams,1941,1946,Ace Townsend Adams,us,['Pitcher'],Right,Right,-,-,-,-,6.0,41.0,33.0,.554,3.47,302.0,7.0,217.0,2.0,0.0,49.0,552.2,541.0,247.0,213.0,26.0,224.0,39.0,171.0,8.0,0.0,15.0,2379.0,104.0,3.78,1.384,8.8,0.4,3.6,2.8,0.76,4.02,4.22,-0.06,0.00,101.1,4.33,20.0,2.5,1.33,-0.4,7.1,64.0,.508,.504
