Name,First year,Last year,Full Name,Country,Positions,Bat hand,Throw hand,HoF,HoF type,HoF year,HoF comittee,Years,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%
Ramon Ortiz,1999,2013,Ramon Diogenes Ortiz,do,['Pitcher'],Right,Right,-,-,-,-,12.0,87.0,86.0,.503,4.95,303.0,218.0,37.0,10.0,1.0,0.0,1448.1,1566.0,861.0,796.0,235.0,500.0,32.0,895.0,69.0,18.0,46.0,6337.0,90.0,5.12,1.426,9.7,1.5,3.1,5.6,1.79,5.35,4.90,0.11,0.13,98.7,4.85,-84,-8.0,.51,-0.8,5.4,73.0,.474,.496
Russ Ortiz,1998,2010,Russell Reid Ortiz,us,['Pitcher'],Right,Right,-,-,-,-,12.0,113.0,89.0,.559,4.51,311.0,266.0,13.0,9.0,3.0,0.0,1661.1,1618.0,903.0,832.0,179.0,860.0,37.0,1192.0,45.0,2.0,57.0,7316.0,93.0,4.67,1.492,8.8,1.0,4.7,6.5,1.39,4.89,4.73,0.06,0.15,96.4,4.64,-51,-4.3,.49,-0.6,9.3,102.0,.486,.500
Chad Orvella,2005,2007,Chad Robert Orvella,us,['Pitcher'],Right,Right,-,-,-,-,3.0,4.0,10.0,.286,5.79,69.0,0.0,14.0,0.0,0.0,1.0,82.1,101.0,65.0,53.0,13.0,53.0,3.0,66.0,5.0,1.0,1.0,406.0,78.0,5.64,1.870,11.0,1.4,5.8,7.2,1.25,7.11,5.15,-0.14,-0.39,100.1,4.92,-21,-1.9,1.13,-0.2,-1.2,-11,.472,.497
Bob Osborn,1925,1931,John Bode Osborn,us,['Pitcher'],Right,Right,-,-,-,-,6.0,27.0,17.0,.614,4.32,121.0,43.0,51.0,11.0,0.0,2.0,446.1,528.0,240.0,214.0,17.0,181.0,2.0,140.0,3.0,1.0,3.0,1996.0,97.0,3.96,1.588,10.6,0.3,3.6,2.8,0.77,4.84,4.90,0.19,0.00,100.2,4.71,-6,-0.6,.92,-0.4,2.9,34.0,.495,.499
Dan Osborn,1975,1975,Danny Leon Osborn,us,['Pitcher'],Right,Right,-,-,-,-,1.0,3.0,0.0,1.000,4.50,24.0,0.0,7.0,0.0,0.0,0.0,58.0,57.0,29.0,29.0,2.0,37.0,1.0,38.0,2.0,0.0,1.0,258.0,87.0,3.74,1.621,8.8,0.3,5.7,5.9,1.03,4.50,4.37,-0.23,-0.32,102.9,4.40,-1,-0.1,1.30,-0.1,0.4,5.0,.497,.500
Donovan Osborne,1992,2004,Donovan Alan Osborne,us,['Pitcher'],Both,Left,-,-,-,-,9.0,49.0,46.0,.516,4.03,163.0,140.0,5.0,4.0,2.0,0.0,873.2,895.0,442.0,391.0,100.0,246.0,19.0,558.0,18.0,1.0,19.0,3691.0,100.0,4.15,1.306,9.2,1.0,2.5,5.7,2.27,4.55,4.53,0.15,0.14,97.2,4.39,-19,-1.9,.69,-0.5,4.9,57.0,.488,.499
Tiny Osborne,1922,1925,Earnest Preston Osborne,us,['Pitcher'],Left,Right,-,-,-,-,4.0,31.0,40.0,.437,4.72,142.0,74.0,45.0,31.0,2.0,7.0,646.0,693.0,409.0,339.0,31.0,315.0,,263.0,22.0,2.0,9.0,2894.0,86.0,4.17,1.560,9.7,0.4,4.4,3.7,0.83,5.68,4.86,0.02,0.00,98.9,4.78,-66,-6.2,1.22,-0.6,-1.3,-5,.456,.491
Wayne Osborne,1935,1936,Wayne Harold Osborne,us,['Pitcher'],Left,Right,-,-,-,-,2.0,1.0,1.0,.500,5.91,7.0,3.0,2.0,0.0,0.0,0.0,21.1,32.0,14.0,14.0,1.0,9.0,0.0,9.0,0.0,0.0,1.0,103.0,67.0,4.34,1.922,13.5,0.4,3.8,3.8,1.00,5.91,4.67,0.20,0.00,104.8,4.68,-3,-0.3,.10,0.0,-0.1,-1,.459,.499
Pat Osburn,1974,1975,Larry Patrick Osburn,us,['Pitcher'],Left,Left,-,-,-,-,2.0,0.0,1.0,.000,6.53,12.0,1.0,3.0,0.0,0.0,0.0,20.2,30.0,18.0,15.0,4.0,13.0,0.0,5.0,2.0,0.0,2.0,103.0,59.0,6.79,2.081,13.1,1.7,5.7,2.2,0.38,7.84,4.45,0.00,-0.25,103.2,4.35,-8,-0.8,.71,0.1,-0.5,-6,.431,.497
Charlie Osgood,1944,1944,Charles Benjamin Osgood,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,3.00,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,13.0,135.0,6.67,1.667,6.0,0.0,9.0,0.0,0.00,3.00,3.60,-0.53,0.00,98.0,4.05,0.0,0.0,.24,0.0,0.1,1.0,.540,.500
Josh Osich,2015,2021,Joshua Michael Osich,us,['Pitcher'],Left,Left,-,-,-,-,7.0,13.0,6.0,.684,5.02,251.0,1.0,49.0,0.0,0.0,1.0,220.2,221.0,138.0,123.0,45.0,86.0,3.0,199.0,8.0,0.0,15.0,960.0,87.0,5.30,1.391,9.0,1.8,3.5,8.1,2.31,5.63,4.86,-0.02,-0.32,0.05,100.3,4.63,-24,-2.3,1.07,-0.6,-0.8,-3,.491
Dan Osinski,1962,1970,Daniel Osinski,us,['Pitcher'],Right,Right,-,-,-,-,8.0,29.0,28.0,.509,3.34,324.0,21.0,122.0,5.0,2.0,18.0,589.2,556.0,256.0,219.0,47.0,264.0,39.0,400.0,6.0,0.0,16.0,2548.0,107.0,3.59,1.391,8.5,0.7,4.0,6.1,1.52,3.91,4.08,0.14,-0.11,100.8,3.85,3.0,0.6,1.20,-0.9,5.1,44.0,.502,.501
Julius Osley,1937,1938,Julius Ceaser Osley,us,['Pitcher'],-,Right,-,-,-,-,2.0,0.0,4.0,.000,3.22,9.0,3.0,4.0,1.0,0.0,0.0,22.1,23.0,13.0,8.0,0.0,15.0,0.0,9.0,0.0,0.0,1.0,105.0,131.0,4.28,1.701,9.3,0.0,6.0,3.6,0.60,5.24,5.20,0.16,0.00,100.0,5.04,1.0,0.1,1.00,0.0,0.3,2.0,.511,.501
Franquelis Osoria,2005,2008,Franquelis Antonio Osoria,do,['Pitcher'],Right,Right,-,-,-,-,4.0,4.0,9.0,.308,5.48,104.0,0.0,20.0,0.0,0.0,0.0,136.1,175.0,87.0,83.0,20.0,37.0,3.0,72.0,12.0,0.0,2.0,610.0,78.0,5.06,1.555,11.6,1.3,2.4,4.8,1.95,5.74,4.61,-0.09,-0.32,99.0,4.33,-21,-2.0,.96,-0.2,-1.0,-9,.481,.496
Claude Osteen,1957,1975,Claude Wilson Osteen,us,['Pitcher'],Left,Left,-,-,-,-,18.0,196.0,195.0,.501,3.30,541.0,488.0,24.0,140.0,40.0,1.0,3460.2,3471.0,1435.0,1268.0,249.0,940.0,93.0,1612.0,45.0,6.0,67.0,14433.0,104.0,3.38,1.275,9.0,0.6,2.4,4.2,1.71,3.73,4.06,0.05,0.06,95.8,3.91,53.0,6.8,1.17,-1.7,36.8,358.0,.513,.503
Darrell Osteen,1965,1970,Milton Darrell Osteen,us,['Pitcher'],Right,Right,-,-,-,-,4.0,1.0,4.0,.200,8.05,29.0,1.0,10.0,0.0,0.0,3.0,38.0,47.0,35.0,34.0,4.0,29.0,3.0,34.0,3.0,1.0,4.0,190.0,49.0,4.66,2.000,11.1,0.9,6.9,8.1,1.17,8.29,4.01,-0.12,-0.14,105.4,4.23,-17,-1.8,.78,0.2,-1.2,-14,.438,.495
Fred Ostendorf,1914,1914,Frederick K. Ostendorf,us,['Pitcher'],Left,Left,-,-,-,-,1.0,0.0,0.0,,22.50,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,5.0,5.0,0.0,2.0,,0.0,1.0,0.0,0.0,13.0,19.0,6.94,3.500,22.5,0.0,9.0,0.0,0.00,22.50,4.45,-0.08,0.00,109.0,4.93,-4,-0.3,1.00,0.0,-0.3,-4,.204,.498
Bill Oster,1954,1954,William Charles Oster,us,['Pitcher'],Left,Left,-,-,-,-,1.0,0.0,1.0,.000,6.32,8.0,1.0,4.0,0.0,0.0,0.0,15.2,19.0,15.0,11.0,2.0,12.0,0.0,5.0,0.0,0.0,1.0,75.0,63.0,5.72,1.979,10.9,1.1,6.9,2.9,0.42,8.62,4.49,-0.35,0.00,104.9,5.07,-6,-0.6,.24,0.2,-0.3,-5,.422,.496
Fritz Ostermueller,1934,1948,Frederick Raymond Ostermueller,us,['Pitcher'],Left,Left,-,-,-,-,15.0,114.0,115.0,.498,3.99,390.0,246.0,86.0,112.0,11.0,15.0,2066.2,2170.0,1062.0,917.0,105.0,835.0,80.0,774.0,21.0,1.0,60.0,9116.0,109.0,3.98,1.454,9.5,0.5,3.6,3.4,0.93,4.63,4.99,-0.13,0.00,103.0,5.27,142.0,15.3,1.28,-1.2,34.3,368.0,.539,.507
Jimmy Osting,2001,2002,James Michael Osting,us,['Pitcher'],Right,Left,-,-,-,-,2.0,0.0,2.0,.000,6.43,6.0,3.0,1.0,0.0,0.0,0.0,14.0,19.0,11.0,10.0,3.0,12.0,1.0,10.0,0.0,0.0,0.0,73.0,67.0,6.90,2.214,12.2,1.9,7.7,6.4,0.83,7.07,4.46,-0.12,0.09,100.1,4.67,-4,-0.3,.54,0.0,-0.2,-3,.445,.499
Joe Ostrowski,1948,1952,Joseph Paul Ostrowski,us,['Pitcher'],Left,Left,-,-,-,-,5.0,23.0,25.0,.479,4.54,150.0,37.0,60.0,12.0,0.0,16.0,455.2,559.0,271.0,230.0,44.0,98.0,15.0,131.0,2.0,1.0,2.0,1989.0,95.0,3.89,1.442,11.0,0.9,1.9,2.6,1.34,5.35,4.76,-0.28,0.00,100.8,5.12,-13,-1.2,1.10,-0.6,1.9,27.0,.492,.498
Al Osuna,1990,1996,Alfonso Osuna,us,['Pitcher'],Right,Left,-,-,-,-,6.0,18.0,10.0,.643,3.83,218.0,0.0,61.0,0.0,0.0,14.0,192.2,156.0,91.0,82.0,17.0,109.0,14.0,143.0,9.0,3.0,13.0,841.0,93.0,4.37,1.375,7.3,0.8,5.1,6.7,1.31,4.25,4.33,0.01,-0.33,95.8,3.82,-11,-1.2,1.55,-0.6,-0.1,6.0,.494,.498
Antonio Osuna,1995,2005,Antonio Pedro Osuna,mx,['Pitcher'],Right,Right,-,-,-,-,11.0,36.0,29.0,.554,3.68,411.0,0.0,140.0,0.0,0.0,21.0,488.2,432.0,217.0,200.0,44.0,209.0,27.0,501.0,17.0,5.0,12.0,2085.0,112.0,3.60,1.312,8.0,0.8,3.8,9.2,2.40,4.00,4.81,-0.10,-0.36,95.4,4.33,18.0,2.2,1.25,-0.5,6.2,64.0,.505,.503
Roberto Osuna,2015,2020,Roberto Osuna,mx,['Pitcher'],Right,Right,-,-,-,-,6.0,14.0,18.0,.438,2.74,314.0,0.0,247.0,0.0,0.0,155.0,315.0,230.0,101.0,96.0,28.0,55.0,6.0,348.0,13.0,1.0,17.0,1227.0,159.0,2.76,0.905,6.6,0.8,1.6,9.9,6.33,2.89,4.68,0.23,-0.33,0.02,101.6,4.20,45.0,4.6,1.68,0.8,8.6,78.0,.515
Corey Oswalt,2018,2021,Corey Edward Oswalt,us,['Pitcher'],Right,Right,-,-,-,-,4.0,4.0,5.0,.444,5.89,26.0,14.0,4.0,0.0,0.0,0.0,94.2,104.0,63.0,62.0,19.0,30.0,2.0,71.0,5.0,0.0,5.0,413.0,66.0,5.39,1.415,9.9,1.8,2.9,6.8,2.37,5.99,4.51,-0.21,0.07,0.00,92.6,4.44,-15,-1.4,.56,-0.1,-0.7,-8,.445
Roy Oswalt,2001,2013,Roy Edward Oswalt,us,['Pitcher'],Right,Right,-,-,-,-,13.0,163.0,102.0,.615,3.36,365.0,341.0,7.0,20.0,8.0,0.0,2245.1,2199.0,897.0,838.0,197.0,520.0,34.0,1852.0,80.0,7.0,30.0,9301.0,127.0,3.37,1.211,8.8,0.8,2.1,7.4,3.56,3.60,4.57,0.02,0.17,100.9,4.76,292.0,32.3,1.07,-1.6,49.9,485.0,.588,.517
Dan Otero,2012,2019,Daniel Anthony Otero,us,['Pitcher'],Right,Right,-,-,-,-,8.0,22.0,8.0,.733,3.39,358.0,0.0,89.0,0.0,0.0,3.0,403.2,433.0,167.0,152.0,37.0,56.0,19.0,262.0,10.0,1.0,6.0,1658.0,124.0,3.52,1.211,9.7,0.8,1.2,5.8,4.68,3.72,4.51,0.15,-0.32,100.7,4.06,12.0,1.5,.86,-0.6,5.0,54.0,.504,.502
Bill Otey,1907,1911,William Tilford Otey,us,['Pitcher'],Left,Left,-,-,-,-,3.0,1.0,5.0,.167,5.01,24.0,5.0,13.0,2.0,0.0,0.0,100.2,131.0,72.0,56.0,4.0,25.0,,33.0,5.0,0.0,5.0,439.0,58.0,3.27,1.550,11.7,0.4,2.2,3.0,1.32,6.44,4.26,-0.01,0.00,99.0,4.21,-25,-2.4,1.00,-0.1,-1.5,-16,.401,.494
Harry Otis,1909,1909,Harry George Otis,us,['Pitcher'],Right,Left,-,-,-,-,1.0,2.0,2.0,.500,1.37,5.0,3.0,0.0,0.0,0.0,0.0,26.1,26.0,11.0,4.0,0.0,18.0,,6.0,3.0,0.0,0.0,113.0,190.0,4.15,1.671,8.9,0.0,6.2,2.1,0.33,3.76,3.50,0.19,0.00,96.1,3.18,-1,-0.2,1.00,0.0,0.1,0.0,.465,.499
Akinori Otsuka,2004,2007,Akinori Otsuka,jp,['Pitcher'],Right,Right,-,-,-,-,4.0,13.0,15.0,.464,2.44,236.0,0.0,96.0,0.0,0.0,39.0,232.0,190.0,71.0,63.0,12.0,80.0,15.0,217.0,2.0,0.0,4.0,951.0,171.0,2.96,1.164,7.4,0.5,3.1,8.4,2.71,2.75,4.75,-0.06,-0.35,95.4,4.26,38.0,3.8,1.59,0.6,6.6,61.0,.516,.506
Adam Ottavino,2010,2022,Adam Robert Ottavino,us,['Pitcher'],Both,Right,-,-,-,-,12.0,34.0,32.0,.515,3.62,548.0,3.0,111.0,0.0,0.0,30.0,574.1,498.0,247.0,231.0,54.0,264.0,27.0,671.0,31.0,2.0,52.0,2460.0,126.0,3.56,1.327,7.8,0.8,4.1,10.5,2.54,3.87,4.47,-0.06,-0.30,0.03,111.4,4.73,55.0,6.2,1.32,0.0,11.6,106.0,.511
Jim Otten,1974,1981,James Edward Otten,us,['Pitcher'],Right,Right,-,-,-,-,5.0,1.0,6.0,.143,5.46,64.0,5.0,23.0,0.0,0.0,0.0,118.2,150.0,83.0,72.0,7.0,67.0,14.0,75.0,3.0,1.0,8.0,551.0,69.0,3.94,1.829,11.4,0.5,5.1,5.7,1.12,6.29,3.98,0.09,-0.19,103.0,3.81,-33,-3.6,.63,0.4,-2.1,-23,.444,.492
Dave Otto,1987,1994,David Alan Otto,us,['Pitcher'],Left,Left,-,-,-,-,8.0,10.0,22.0,.313,5.06,109.0,41.0,20.0,1.0,0.0,0.0,318.1,377.0,189.0,179.0,33.0,122.0,11.0,144.0,9.0,1.0,15.0,1405.0,81.0,4.58,1.568,10.7,0.9,3.4,4.1,1.18,5.34,4.56,0.01,0.00,99.8,4.55,-29,-2.7,.77,-0.1,0.2,2.0,.475,.497
Glenn Otto,2021,2022,Glenn David Otto,us,['Pitcher'],Right,Right,-,-,-,-,2.0,1.0,4.0,.200,7.99,10.0,10.0,0.0,0.0,0.0,0.0,41.2,48.0,37.0,37.0,6.0,18.0,0.0,44.0,3.0,0.0,1.0,192.0,52.0,4.41,1.584,10.4,1.3,3.9,9.5,2.44,7.99,4.78,0.42,0.23,0.00,100.7,4.61,-17,-1.5,,0.0,-1.1,-12,.352
Josh Outman,2008,2014,Joshua Stephen Outman,us,['Pitcher'],Left,Left,-,-,-,-,6.0,16.0,11.0,.593,4.43,161.0,32.0,20.0,0.0,0.0,0.0,274.1,276.0,145.0,135.0,28.0,115.0,5.0,226.0,5.0,0.0,13.0,1191.0,97.0,4.07,1.425,9.1,0.9,3.8,7.4,1.97,4.76,4.55,-0.21,-0.03,105.4,4.98,5.0,0.6,.93,-0.4,2.9,33.0,.504,.500
Orval Overall,1905,1913,Orval Overall,us,['Pitcher'],Both,Right,-,-,-,-,7.0,108.0,71.0,.603,2.26,218.0,183.0,30.0,133.0,30.0,12.0,1535.1,1232.0,520.0,385.0,16.0,551.0,,935.0,45.0,0.0,57.0,6160.0,121.0,2.39,1.161,7.2,0.1,3.2,5.5,1.70,3.05,3.66,0.24,0.00,101.3,3.47,72.0,9.6,1.00,-1.3,21.8,184.0,.544,.511
Stubby Overmire,1943,1952,Frank W. Overmire,us,['Pitcher'],Right,Left,-,-,-,-,10.0,58.0,67.0,.464,3.96,266.0,137.0,68.0,50.0,11.0,10.0,1130.2,1259.0,569.0,498.0,56.0,325.0,22.0,301.0,11.0,1.0,12.0,4906.0,99.0,3.63,1.401,10.0,0.4,2.6,2.4,0.93,4.53,4.35,-0.05,0.00,102.9,4.54,0.0,0.2,1.10,-1.3,8.1,87.0,.501,.500
Connor Overton,2021,2022,Connor Danford Overton,us,['Pitcher'],Left,Right,-,-,-,-,2.0,1.0,1.0,.500,2.93,13.0,7.0,2.0,0.0,0.0,0.0,40.0,29.0,13.0,13.0,2.0,12.0,0.0,25.0,0.0,0.0,1.0,152.0,156.0,3.42,1.025,6.5,0.5,2.7,5.6,2.08,2.93,4.43,-0.22,0.09,0.00,108.7,5.16,9.0,1.2,.25,-0.2,1.3,14.0,.589
Dillon Overton,2016,2017,Dillon Ray Overton,us,['Pitcher'],Left,Left,-,-,-,-,2.0,1.0,4.0,.200,9.13,17.0,7.0,6.0,0.0,0.0,0.0,47.1,78.0,50.0,48.0,18.0,11.0,2.0,28.0,2.0,0.0,4.0,231.0,46.0,7.74,1.880,14.8,3.4,2.1,5.3,2.55,9.51,4.77,-0.21,0.00,96.3,4.79,-25,-2.2,.15,0.2,-1.5,-20,.372,.494
Mike Overy,1976,1976,Harry Michael Overy,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,2.0,.000,6.14,5.0,0.0,3.0,0.0,0.0,0.0,7.1,6.0,5.0,5.0,1.0,3.0,1.0,8.0,1.0,0.0,0.0,32.0,57.0,3.86,1.227,7.4,1.2,3.7,9.8,2.67,6.14,4.19,0.01,-0.36,98.9,3.78,-2,-0.2,2.23,-0.1,-0.3,-1,.458,.499
Johan Oviedo,2020,2021,Johan Oviedo,cu,['Pitcher'],Right,Right,-,-,-,-,2.0,0.0,8.0,.000,5.07,19.0,18.0,0.0,0.0,0.0,0.0,87.0,85.0,57.0,49.0,11.0,47.0,2.0,67.0,11.0,0.0,6.0,400.0,80.0,5.28,1.517,8.8,1.1,4.9,6.9,1.43,5.90,4.35,0.58,0.21,0.00,97.0,3.85,-20,-1.8,.08,-0.1,-1.1,-11,.405
Juan Carlos Oviedo,2005,2014,Juan Carlos Oviedo,do,['Pitcher'],Right,Right,-,-,-,-,8.0,21.0,23.0,.477,4.28,349.0,6.0,184.0,0.0,0.0,93.0,388.2,382.0,196.0,185.0,50.0,133.0,14.0,314.0,17.0,2.0,13.0,1662.0,99.0,4.31,1.325,8.8,1.2,3.1,7.3,2.36,4.54,4.63,-0.27,-0.30,101.5,4.66,3.0,0.4,1.35,-0.5,3.7,42.0,.501,.501
Luis Oviedo,2021,2021,Luis Jose Oviedo,ve,['Pitcher'],Right,Right,-,-,-,-,1.0,1.0,2.0,.333,8.80,22.0,1.0,12.0,0.0,0.0,0.0,29.2,33.0,32.0,29.0,4.0,26.0,1.0,31.0,2.0,0.0,2.0,147.0,48.0,5.66,1.989,10.0,1.2,7.9,9.4,1.19,9.71,4.70,-0.06,-0.29,0.19,102.1,4.75,-16,-1.6,.44,0.3,-0.9,-14,.429
Ernie Ovitz,1911,1911,Ernest Gayhart Ovitz,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,4.50,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,3.0,,0.0,0.0,0.0,0.0,11.0,90.0,7.27,3.000,13.5,0.0,13.5,0.0,0.00,9.00,4.72,0.36,0.00,94.0,4.10,-1,-0.1,1.00,0.0,-0.1,-1,.397,.499
Bob Owchinko,1976,1986,Robert Dennis Owchinko,us,['Pitcher'],Left,Left,-,-,-,-,10.0,37.0,60.0,.381,4.28,275.0,104.0,54.0,10.0,4.0,7.0,890.2,937.0,461.0,424.0,88.0,363.0,35.0,490.0,6.0,7.0,25.0,3866.0,85.0,4.13,1.460,9.5,0.9,3.7,5.0,1.35,4.66,4.36,-0.12,-0.02,94.8,4.23,-48,-4.7,1.47,-1.3,2.1,34.0,.483,.496
Frank Owen,1901,1909,Frank Malcolm Owen,us,['Pitcher'],Both,Right,-,-,-,-,8.0,82.0,67.0,.550,2.55,194.0,155.0,34.0,119.0,16.0,2.0,1368.1,1249.0,556.0,388.0,17.0,298.0,,443.0,39.0,1.0,19.0,5462.0,100.0,2.70,1.131,8.2,0.1,2.0,2.9,1.49,3.63,3.76,0.35,0.00,95.6,3.27,-53,-5.4,1.00,-1.1,7.1,59.0,.472,.497
Albert Owens,1930,1930,Albert Owens,,['Pitcher'],-,-,-,-,-,-,1.0,0.0,2.0,.000,6.61,3.0,3.0,,1.0,0.0,0.0,16.1,24.0,15.0,12.0,,5.0,,5.0,0.0,,0.0,,73.0,,1.776,13.2,,2.8,2.8,1.00,8.27,5.35,,0.00,100.0,5.35,-5,-0.4,,0.0,-0.2,-3,.379,.498
Aubry Owens,1922,1925,Aubry Percy Owens,us,['Pitcher'],Right,Right,-,-,-,-,4.0,19.0,17.0,.528,4.48,60.0,38.0,7.0,19.0,3.0,4.0,325.2,336.0,196.0,162.0,9.0,140.0,,157.0,14.0,0.0,1.0,1459.0,103.0,3.61,1.462,9.3,0.2,3.9,4.3,1.12,5.42,5.57,0.21,0.00,100.0,5.36,4.0,0.5,1.00,-0.4,3.2,36.0,.508,.502
Henry Owens,2006,2007,Henry Jay Owens,us,['Pitcher'],Right,Right,-,-,-,-,2.0,2.0,0.0,1.000,3.00,25.0,0.0,11.0,0.0,0.0,4.0,27.0,23.0,11.0,9.0,3.0,14.0,1.0,18.0,0.0,0.0,2.0,117.0,149.0,4.89,1.370,7.7,1.0,4.7,6.0,1.29,3.67,4.92,-0.25,-0.36,96.9,4.66,3.0,0.3,.94,0.0,0.6,5.0,.513,.503
Henry Owens,2015,2016,Henry Cole Owens,us,['Pitcher'],Left,Left,-,-,-,-,2.0,4.0,6.0,.400,5.19,16.0,16.0,0.0,0.0,0.0,0.0,85.0,85.0,52.0,49.0,12.0,44.0,1.0,71.0,4.0,1.0,7.0,375.0,84.0,5.00,1.518,9.0,1.3,4.7,7.5,1.61,5.51,4.44,0.07,0.17,106.8,4.85,-7,-0.7,,0.0,0.1,2.0,.459,.499
Jim Owens,1955,1967,James Philip Owens,us,['Pitcher'],Right,Right,-,-,-,-,12.0,42.0,68.0,.382,4.31,286.0,103.0,96.0,21.0,1.0,21.0,885.1,932.0,483.0,424.0,84.0,340.0,46.0,516.0,8.0,6.0,44.0,3854.0,88.0,3.79,1.437,9.5,0.9,3.5,5.2,1.52,4.91,4.36,-0.21,-0.03,100.3,4.56,-39,-3.6,1.31,-0.3,5.3,53.0,.487,.499
Roosevelt Owens,1934,1937,Roosevelt Owens,,['Pitcher'],-,-,-,-,-,-,2.0,3.0,2.0,.600,6.59,9.0,7.0,1.0,3.0,0.0,0.0,42.1,54.0,35.0,31.0,3.0,21.0,0.0,21.0,1.0,0.0,0.0,202.0,69.0,4.68,1.772,11.5,0.6,4.5,4.5,1.00,7.44,5.07,-0.41,0.00,100.0,5.48,-8,-0.6,1.00,-0.1,-0.3,-4,.433,.499
Rudy Owens,2014,2014,Rudy C. Owens,us,['Pitcher'],Left,Left,-,-,-,-,1.0,0.0,1.0,.000,7.94,1.0,1.0,0.0,0.0,0.0,0.0,5.2,9.0,5.0,5.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,29.0,52.0,6.66,1.941,14.3,1.6,3.2,1.6,0.50,7.94,4.25,0.10,0.16,90.0,3.88,-3,-0.2,,0.0,-0.2,-2,.275,.499
Rick Ownbey,1982,1986,Richard Wayne Ownbey,us,['Pitcher'],Right,Right,-,-,-,-,4.0,3.0,11.0,.214,4.11,39.0,19.0,7.0,2.0,0.0,0.0,146.2,145.0,75.0,67.0,12.0,91.0,1.0,83.0,3.0,5.0,3.0,657.0,89.0,4.60,1.609,8.9,0.7,5.6,5.1,0.91,4.60,4.14,0.05,0.02,100.2,4.13,-9,-0.9,.93,-0.1,0.4,5.0,.477,.498
Chris Oxspring,2005,2005,Chris Andrew Oxspring,au,['Pitcher'],Left,Right,-,-,-,-,1.0,0.0,0.0,,3.75,5.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,8.0,5.0,2.0,6.0,0.0,11.0,0.0,0.0,0.0,49.0,106.0,4.85,1.250,6.8,1.5,4.5,8.3,1.83,6.00,4.46,-0.20,-0.12,95.0,4.31,-2,-0.2,.40,0.0,-0.1,-1,.455,.499
Doc Ozmer,1923,1923,Horace Robert Ozmer,us,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,4.50,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,,1.0,0.0,0.0,0.0,8.0,108.0,3.54,1.000,4.5,0.0,4.5,4.5,1.00,4.50,4.26,-0.05,0.00,110.0,4.73,0.0,0.0,.00,0.0,0.0,0.0,.505,.500
John Pacella,1977,1986,John Lewis Pacella,us,['Pitcher'],Right,Right,-,-,-,-,6.0,4.0,10.0,.286,5.73,74.0,21.0,18.0,0.0,0.0,3.0,191.2,206.0,135.0,122.0,21.0,133.0,5.0,116.0,3.0,5.0,12.0,886.0,68.0,5.08,1.769,9.7,1.0,6.2,5.4,0.87,6.34,4.34,0.02,-0.08,98.0,4.15,-47,-4.6,.73,0.0,-2.7,-30,.438,.492
Alex Pacheco,1996,1996,Alexander Melchor Pacheco,ve,['Pitcher'],Right,Right,-,-,-,-,1.0,0.0,0.0,,11.12,5.0,0.0,2.0,0.0,0.0,0.0,5.2,8.0,7.0,7.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,26.0,41.0,5.82,1.588,12.7,3.2,1.6,11.1,7.00,11.12,4.53,0.01,-0.34,100.9,4.22,-4,-0.4,.45,0.1,-0.3,-4,.419,.498
Pat Pacillo,1987,1988,Patrick Michael Pacillo,us,['Pitcher'],Right,Right,-,-,-,-,2.0,4.0,3.0,.571,5.90,18.0,7.0,2.0,0.0,0.0,0.0,50.1,55.0,37.0,33.0,9.0,23.0,0.0,34.0,1.0,0.0,3.0,225.0,70.0,5.25,1.550,9.8,1.6,4.1,6.1,1.48,6.62,4.42,0.03,-0.02,105.8,4.62,-12,-1.2,.51,0.1,-0.6,-7,.435,.496
Gene Packard,1912,1919,Eugene Milo Packard,us,['Pitcher'],Left,Left,-,-,-,-,8.0,85.0,69.0,.552,3.01,248.0,153.0,74.0,86.0,15.0,17.0,1410.1,1393.0,602.0,472.0,28.0,356.0,,488.0,35.0,1.0,16.0,5811.0,99.0,2.79,1.240,8.9,0.2,2.3,3.1,1.37,3.84,3.88,0.00,0.00,100.0,3.88,0.0,0.2,1.07,-1.1,8.6,84.0,.501,.501
